Monday,SKS,Organic Chemistry,CY20001,8am-8:55am,NR121
Monday,,,,9am-9:55am,NR121
Monday,MKS,Inorganic Chemistry,CY20005,10am-10:55am,NR121
Monday,SDS,NSOPDE,MA40001,11am-11:55am,NR121
Monday,,,,12pm-12:55pm,NR121
Monday,RPS,Physics,PH10001,2pm-2:55pm,NR121
Monday,NLS,Maths,MA10001,3pm-3:55am,NR121
Monday,ACP,Physics,PH30015,4pm-4:55pm,NR121
Monday,,,,5pm-5:55pm,NR121
Tuesday,,,,8am-8:55am,NR121
Tuesday,SKS,Organic Chemistry,CY20001,9am-9:55am,NR121
Tuesday,,,,10am-10:55am,NR121
Tuesday,MKS,Inorganic Chemistry,CY20005,11am-11:55am,NR121
Tuesday,SDS,NSOPDE,MA40001,12pm-12:55pm,NR121
Tuesday,,,,2pm-2:55pm,NR121
Tuesday,RPS,Physics,PH10001,3pm-3:55am,NR121
Tuesday,NLS,Maths,MA10001,4pm-4:55pm,NR121
Tuesday,ACP,Physics,PH30015,5pm-5:55pm,NR121
Wednesday,SKS,Organic Chemistry,CY20001,8am-8:55am,NR121
Wednesday,,,,9am-9:55am,NR121
Wednesday,MKS,Inorganic Chemistry,CY20005,10am-10:55am,NR121
Wednesday,SDS,NSOPDE,MA40001,11am-11:55am,NR121
Wednesday,,,,12pm-12:55pm,NR121
Wednesday,RPS,Physics,PH10001,2pm-2:55pm,NR121
Wednesday,NLS,Maths,MA10001,3pm-3:55am,NR121
Wednesday,ACP,Physics,PH30015,4pm-4:55pm,NR121
Wednesday,,,,5pm-5:55pm,NR121
Thursday,,,,8am-8:55am,NR121
Thursday,SKS,Organic Chemistry,CY20001,9am-9:55am,NR121
Thursday,,,,10am-10:55am,NR121
Thursday,MKS,Inorganic Chemistry,CY20005,11am-11:55am,NR121
Thursday,SDS,NSOPDE,MA40001,12pm-12:55pm,NR121
Thursday,,,,2pm-2:55pm,NR121
Thursday,RPS,Physics,PH10001,3pm-3:55am,NR121
Thursday,NLS,Maths,MA10001,4pm-4:55pm,NR121
Thursday,ACP,Physics,PH30015,5pm-5:55pm,NR121
Friday,,,,8am-8:55am,NR121
Friday,SKS,Organic Chemistry,CY20001,9am-9:55am,NR121
Friday,,,,10am-10:55am,NR121
Friday,MKS,Inorganic Chemistry,CY20005,11am-11:55am,NR121
Friday,SKS,Organic Chemistry,CY20001,12pm-12:55pm,NR121
Friday,,,,2pm-2:55pm,NR121
Friday,MKS,Inorganic Chemistry,CY20005,3pm-3:55am,NR121
Friday,SDS,NSOPDE,MA40001,4pm-4:55pm,NR121
Friday,,,,5pm-5:55pm,NR121
